frame,timestamp_sec,x,y,z,position_source
0,0.0,,-0.3,,fixed_depth_proxy
1,0.083,,-0.3,,fixed_depth_proxy
2,0.167,,-0.3,,fixed_depth_proxy
3,0.25,,-0.3,,fixed_depth_proxy
4,0.333,,-0.3,,fixed_depth_proxy
5,0.417,,-0.3,,fixed_depth_proxy
6,0.5,,-0.3,,fixed_depth_proxy
7,0.583,,-0.3,,fixed_depth_proxy
8,0.667,,-0.3,,fixed_depth_proxy
9,0.75,,-0.3,,fixed_depth_proxy
10,0.833,,-0.3,,fixed_depth_proxy
11,0.917,,-0.3,,fixed_depth_proxy
12,1.0,,-0.3,,fixed_depth_proxy
13,1.083,,-0.3,,fixed_depth_proxy
14,1.167,,-0.3,,fixed_depth_proxy
15,1.25,,-0.3,,fixed_depth_proxy
16,1.333,,-0.3,,fixed_depth_proxy
17,1.417,,-0.3,,fixed_depth_proxy
18,1.5,,-0.3,,fixed_depth_proxy
19,1.583,,-0.3,,fixed_depth_proxy
20,1.667,,-0.3,,fixed_depth_proxy
21,1.75,,-0.3,,fixed_depth_proxy
22,1.833,,-0.3,,fixed_depth_proxy
23,1.917,,-0.3,,fixed_depth_proxy
24,2.0,,-0.3,,fixed_depth_proxy
25,2.083,,-0.3,,fixed_depth_proxy
26,2.167,,-0.3,,fixed_depth_proxy
27,2.25,,-0.3,,fixed_depth_proxy
28,2.333,,-0.3,,fixed_depth_proxy
29,2.417,,-0.3,,fixed_depth_proxy
30,2.5,,-0.3,,fixed_depth_proxy
31,2.583,,-0.3,,fixed_depth_proxy
32,2.667,,-0.3,,fixed_depth_proxy
33,2.75,,-0.3,,fixed_depth_proxy
34,2.833,,-0.3,,fixed_depth_proxy
35,2.917,,-0.3,,fixed_depth_proxy
36,3.0,,-0.3,,fixed_depth_proxy
37,3.083,,-0.3,,fixed_depth_proxy
38,3.167,,-0.3,,fixed_depth_proxy
39,3.25,,-0.3,,fixed_depth_proxy
40,3.333,,-0.3,,fixed_depth_proxy
41,3.417,,-0.3,,fixed_depth_proxy
42,3.5,,-0.3,,fixed_depth_proxy
43,3.583,,-0.3,,fixed_depth_proxy
44,3.667,,-0.3,,fixed_depth_proxy
45,3.75,,-0.3,,fixed_depth_proxy
46,3.833,,-0.3,,fixed_depth_proxy
47,3.917,,-0.3,,fixed_depth_proxy
48,4.0,,-0.3,,fixed_depth_proxy
49,4.083,,-0.3,,fixed_depth_proxy
50,4.167,,-0.3,,fixed_depth_proxy
51,4.25,,-0.3,,fixed_depth_proxy
52,4.333,,-0.3,,fixed_depth_proxy
53,4.417,,-0.3,,fixed_depth_proxy
54,4.5,,-0.3,,fixed_depth_proxy
55,4.583,,-0.3,,fixed_depth_proxy
56,4.667,,-0.3,,fixed_depth_proxy
57,4.75,,-0.3,,fixed_depth_proxy
58,4.833,,-0.3,,fixed_depth_proxy
59,4.917,,-0.3,,fixed_depth_proxy
60,5.0,,-0.3,,fixed_depth_proxy
61,5.083,,-0.3,,fixed_depth_proxy
62,5.167,,-0.3,,fixed_depth_proxy
63,5.25,,-0.3,,fixed_depth_proxy
64,5.333,,-0.3,,fixed_depth_proxy
65,5.417,,-0.3,,fixed_depth_proxy
66,5.5,,-0.3,,fixed_depth_proxy
67,5.583,,-0.3,,fixed_depth_proxy
68,5.667,,-0.3,,fixed_depth_proxy
69,5.75,,-0.3,,fixed_depth_proxy
70,5.833,,-0.3,,fixed_depth_proxy
71,5.917,,-0.3,,fixed_depth_proxy
72,6.0,,-0.3,,fixed_depth_proxy
73,6.083,,-0.3,,fixed_depth_proxy
74,6.167,,-0.3,,fixed_depth_proxy
75,6.25,,-0.3,,fixed_depth_proxy
76,6.333,,-0.3,,fixed_depth_proxy
77,6.417,,-0.3,,fixed_depth_proxy
78,6.5,,-0.3,,fixed_depth_proxy
79,6.583,,-0.3,,fixed_depth_proxy
80,6.667,,-0.3,,fixed_depth_proxy
81,6.75,,-0.3,,fixed_depth_proxy
82,6.833,,-0.3,,fixed_depth_proxy
83,6.917,,-0.3,,fixed_depth_proxy
84,7.0,,-0.3,,detected_2d
85,7.083,,-0.3,,last_known_position
86,7.167,,-0.3,,last_known_position
87,7.25,,-0.3,,last_known_position
88,7.333,,-0.3,,last_known_position
89,7.417,,-0.3,,last_known_position
90,7.5,,-0.3,,last_known_position
91,7.583,,-0.3,,last_known_position
92,7.667,,-0.3,,last_known_position
93,7.75,,-0.3,,last_known_position
94,7.833,,-0.3,,last_known_position
95,7.917,,-0.3,,last_known_position
