frame,timestamp_sec,qpos_0,qpos_1,qpos_2,qpos_3,qpos_4,qpos_5,qpos_6,qpos_7,qpos_8,qpos_9,qpos_10,qpos_11,qpos_12,qpos_13,qpos_14,qpos_15,qpos_16,qpos_17,qpos_18,qpos_19,qpos_20,qpos_21,qpos_22,qpos_23,qpos_24,qpos_25,qpos_26,qpos_27,qpos_28,qpos_29,qpos_30,qpos_31,qpos_32,qpos_33,qpos_34,qpos_35,qpos_36,qpos_37,qpos_38,qpos_39,qpos_40,qpos_41,qpos_42,qpos_43,qpos_44,qpos_45,qpos_46,qpos_47,qpos_48,qpos_49,qpos_50,qpos_51,qpos_52,qpos_53,qpos_54,qpos_55,qpos_56,qpos_57,qpos_58,qpos_59,qpos_60,qpos_61,qpos_62,qpos_63,qpos_64,qpos_65,qpos_66,qpos_67,qpos_68,qpos_69,qpos_70,qpos_71,qpos_72,qpos_73,qpos_74,qpos_75,qpos_76,qpos_77,qpos_78,qpos_79,qpos_80
0,0.0,-0.02230668,0.0,0.8436478,0.9776145,0.10853414,-0.018021224,0.17934711,0.9997905,2.4807805e-09,1.8665876e-09,-0.0204676,1.0,0.0,-2.311116e-33,-1.2359905e-17,1.0,0.0,-2.311116e-33,-1.2359905e-17,0.9908383,-0.113997996,-0.0713079,-0.012615034,0.64358866,0.04156763,0.72101486,-0.25338387,0.90232366,0.31624988,-0.0064184256,-0.29284263,-0.90912694,-0.29075158,0.13099723,0.2679392,0.28634277,0.69715995,0.685631,0.72743785,0.661183,0.711231,-0.18906686,-0.6769146,-0.013815042,0.8081177,0.3850444,-0.20646916,0.3950406,0.93347824,0.25113997,0.18792005,0.17387699,0.2947953,0.5676455,0.68492466,0.68491983,0.6858842,0.7953792,-0.5812895,0.091374956,-0.14534432,0.83198965,0.55188215,0.052538704,0.021423858,0.9339979,0.35474074,-0.0416124,0.008674039,0.78924835,-0.56895274,-0.20215654,-0.11185932,0.8447503,0.4392412,0.3057187,-0.00045356853,0.9079343,0.41885626,-0.004135447,0.014057732
1,0.083,-0.022514628,0.0,0.8431599,0.97844696,0.10555071,-0.016836513,0.17668368,0.9996963,7.751721e-09,-8.140024e-10,-0.02464194,1.0,0.0,-2.311116e-33,-1.3010426e-17,1.0,0.0,-2.311116e-33,-1.3010426e-17,0.9910847,-0.11006617,-0.0740968,-0.012090837,0.6454004,0.038694486,0.720832,-0.24972445,0.89798063,0.323082,-0.012012733,-0.29850385,-0.9199346,-0.26726797,0.13008244,0.25566933,0.2863497,0.6901785,0.68171275,0.7158632,0.66795284,0.71144426,-0.18216878,-0.6786814,-0.0072894567,0.8048624,0.38994724,-0.19883992,0.40074983,0.9084766,0.33498448,0.17051527,0.18270242,0.3146303,0.57405543,0.6458304,0.6525682,0.65053236,0.79460156,-0.5824469,0.09356996,-0.14355722,0.8290249,0.557033,0.045122005,0.019898634,0.9371713,0.3467132,-0.03817853,0.006510991,0.7857398,-0.5736328,-0.203585,-0.110052854,0.8402919,0.4488432,0.30404815,-0.00199523,0.90800875,0.4187479,-0.0019155109,0.012906794
2,0.167,-0.02277807,0.0,0.8422659,0.979662,0.096380085,-0.01451777,0.17539236,0.9996026,-5.4163607e-09,-1.8731108e-09,-0.028189084,1.0,0.0,-7.70372e-34,-6.7220535e-18,1.0,0.0,-7.70372e-34,-6.7220535e-18,0.99181557,-0.09885021,-0.07898913,-0.017066725,0.64453864,0.042225707,0.72309613,-0.2447834,0.89237154,0.3329693,-0.025776938,-0.30354574,-0.9275642,-0.24588056,0.12497682,0.25208756,0.30016193,0.6855956,0.6805469,0.7085371,0.67083484,0.7129975,-0.17216426,-0.67967474,-0.0060276543,0.8052114,0.38991845,-0.19163473,0.4035769,0.8973321,0.3489492,0.16264129,0.21581812,0.32082358,0.5643962,0.60798156,0.6170661,0.5731579,0.797324,-0.578183,0.09661111,-0.14368424,0.8271929,0.5605767,0.03470383,0.017359758,0.9388232,0.34281877,-0.03266736,0.0043697823,0.78677136,-0.57236224,-0.20182002,-0.11252128,0.83943635,0.45693654,0.29414955,-0.0056244745,0.9081152,0.41805106,0.00510937,0.023106957
3,0.25,-0.023327539,0.0,0.8415333,0.9796438,0.0977341,-0.013706254,0.17480907,0.999769,1.3144406e-08,1.2717093e-09,-0.021494657,1.0,0.0,-5.77779e-34,-3.2526065e-18,1.0,0.0,-5.77779e-34,-3.2526065e-18,0.9935011,-0.08761232,-0.07256044,-0.0038177283,0.64193934,0.046221673,0.7237358,-0.24896564,0.88787746,0.34017456,-0.0337962,-0.30791673,-0.9306735,-0.23249054,0.12545209,0.2530944,0.3176561,0.689799,0.6820345,0.7033567,0.66582346,0.7118155,-0.17728224,-0.6795933,-0.006534089,0.8060555,0.3867917,-0.20046556,0.40059987,0.87230575,0.3861888,0.19018404,0.23188557,0.32418743,0.563253,0.5862712,0.598991,0.5373847,0.79533476,-0.58084416,0.097312465,-0.14350244,0.8263807,0.5622572,0.027578257,0.014184016,0.93975705,0.34066772,-0.026032412,0.011159081,0.7819802,-0.5792065,-0.20157821,-0.111323535,0.83659977,0.4643518,0.2905428,-0.007941908,0.9088619,0.41588968,0.009015955,0.030406527
4,0.333,-0.02377257,0.0,0.84049445,0.97951764,0.09883019,-0.0143298805,0.17484982,0.9999293,-1.8885922e-09,6.917142e-09,-0.011891497,1.0,0.0,-1.92593e-34,-8.6736174e-19,1.0,0.0,-1.92593e-34,-8.6736174e-19,0.9947866,-0.07768157,-0.06348072,0.018314123,0.63971853,0.05272045,0.7252324,-0.24903542,0.88427305,0.34538427,-0.037734196,-0.31200475,-0.93196255,-0.21612579,0.12882422,0.26103604,0.33404768,0.71365285,0.6983318,0.70772564,0.66110873,0.7120984,-0.1845811,-0.6772816,-0.0116311945,0.8101218,0.37893444,-0.21285503,0.3934515,0.862554,0.391946,0.21100849,0.24052921,0.3319528,0.5730843,0.58434516,0.58610016,0.5239481,0.7938088,-0.5827101,0.09908656,-0.14317241,0.82834804,0.5595603,0.023870861,0.012728493,0.9380701,0.34554693,-0.023254266,0.008998677,0.78025544,-0.5827028,-0.19848934,-0.11072871,0.83745253,0.4668088,0.28400555,-0.010183076,0.9083133,0.4170353,0.013866076,0.029262912
5,0.417,-0.025352167,0.0,0.8396787,0.97825587,0.10429541,-0.014982017,0.17864351,0.9999999,-6.5597074e-09,2.7783353e-09,0.000537075,1.0,0.0,-1.92593e-34,-2.6020852e-18,1.0,0.0,-1.92593e-34,-2.6020852e-18,0.9958508,-0.06378504,-0.03913231,0.051780947,0.6370542,0.06064814,0.72361296,-0.25858846,0.88195896,0.34807855,-0.037667096,-0.3155486,-0.92991614,-0.19954371,0.14513738,0.27271488,0.35565346,0.7466619,0.7190524,0.71833247,0.65742177,0.7113137,-0.19951965,-0.6737203,-0.018045392,0.81455266,0.36661378,-0.23684889,0.3821007,0.84575707,0.41122034,0.24033678,0.24048083,0.336861,0.59441316,0.59229016,0.5919396,0.53640586,0.78974324,-0.5887363,0.09294105,-0.14511068,0.82734025,0.56016845,0.03844005,0.015549761,0.93280494,0.35882834,-0.0288205,0.016929002,0.77444017,-0.5886313,-0.20372437,-0.11068915,0.83347166,0.4663617,0.29625842,-0.007919107,0.90711045,0.41933748,0.00931155,0.03492901
6,0.5,-0.027602376,0.0,0.8391777,0.9769488,0.110602364,-0.014418301,0.18201722,0.99992824,-2.4301796e-09,7.608106e-09,0.011981662,1.0,0.0,-7.70372e-34,-7.806256e-18,1.0,0.0,-7.70372e-34,-7.806256e-18,0.9954515,-0.052027334,-0.016804146,0.07801971,0.63521963,0.066923544,0.72073257,-0.2693729,0.8812659,0.34852618,-0.03414614,-0.3173861,-0.9304075,-0.17597766,0.16478637,0.27607822,0.37539837,0.7771802,0.74455947,0.7345641,0.6632305,0.71172845,-0.2138876,-0.66874444,-0.021806723,0.8212638,0.3469292,-0.26641208,0.36632025,0.8278633,0.43152604,0.2672213,0.2387896,0.3494125,0.6190163,0.6051469,0.6048839,0.56063175,0.78707904,-0.5919212,0.09048408,-0.14815024,0.8331071,0.55136836,0.04122937,0.015019553,0.92785805,0.37121513,-0.027825888,0.022461658,0.76963323,-0.59403676,-0.2058982,-0.11131461,0.8332731,0.4640076,0.30050528,-0.0070323027,0.9059255,0.42151102,0.00854535,0.039425306
7,0.583,-0.029467342,0.0,0.83878183,0.976797,0.10816434,-0.013050412,0.1843851,0.99977356,6.4746666e-09,-3.2726508e-09,0.021280916,1.0,0.0,-7.70372e-34,-4.3368087e-18,1.0,0.0,-7.70372e-34,-4.3368087e-18,0.994325,-0.03260768,-0.00083145,0.10126117,0.6360454,0.07688285,0.7191287,-0.26905236,0.8750076,0.3562571,-0.040397357,-0.3252854,-0.9324563,-0.1603612,0.1609206,0.2809164,0.3770623,0.78977525,0.74597263,0.739049,0.6821635,0.7116565,-0.21997239,-0.6664433,-0.0317882,0.8212293,0.34221163,-0.27634966,0.36346188,0.8266206,0.41323146,0.30725998,0.22700101,0.36265877,0.65595996,0.6438658,0.6442312,0.6072569,0.78627837,-0.59263444,0.089103304,-0.15037076,0.83644986,0.5461907,0.042522848,0.014805418,0.9228251,0.38366985,-0.027294032,0.021126078,0.7696227,-0.59366554,-0.205191,-0.11462467,0.8362498,0.45992845,0.29852507,-0.005903149,0.9012463,0.43137762,0.00984043,0.039643373
8,0.667,-0.032013133,0.0,0.83855844,0.9758425,0.11015956,-0.009050456,0.18845269,0.99962723,-2.8378921e-09,-2.4613833e-09,0.027301075,1.0,0.0,2.311116e-33,1.3660947e-17,1.0,0.0,2.311116e-33,1.3660947e-17,0.993895,-0.015933355,0.012269612,0.108481996,0.63729066,0.08303196,0.715666,-0.27347496,0.8709286,0.3615279,-0.04127038,-0.33026925,-0.9353646,-0.15582764,0.1571677,0.27587873,0.36505172,0.7965424,0.73948705,0.73576224,0.6816255,0.71270454,-0.22793652,-0.6621597,-0.04051854,0.82012707,0.3342285,-0.29242238,0.36079365,0.80785215,0.4294737,0.3468169,0.20650738,0.3653627,0.68382806,0.6760771,0.68196476,0.6479521,0.78399515,-0.5952554,0.08315069,-0.15526943,0.8378545,0.5437414,0.046327762,0.014102723,0.91968393,0.39101472,-0.026078196,0.024675127,0.7668283,-0.594743,-0.21006592,-0.11885873,0.83700985,0.45548043,0.30320564,-0.004298713,0.89882797,0.43581066,0.008310077,0.04591566
9,0.75,-0.034461964,0.0,0.83838433,0.9746608,0.11139698,-0.003529996,0.19394466,0.99952537,-1.419382e-08,1.2569042e-09,0.030806078,1.0,0.0,8.6736174e-19,-4.3368087e-18,1.0,0.0,8.6736174e-19,-4.3368087e-18,0.9935362,-0.009632643,0.016665122,0.11187184,0.6381602,0.08907469,0.71105295,-0.28146204,0.87141675,0.36089987,-0.05087844,-0.32832226,-0.9425769,-0.12150542,0.12592112,0.28448048,0.3618109,0.79168725,0.7356844,0.72902995,0.69761366,0.716367,-0.23423138,-0.65565115,-0.0455584,0.8165964,0.32523763,-0.31026864,0.36211067,0.80722725,0.43186563,0.35048577,0.19757526,0.353964,0.706866,0.7015839,0.7219842,0.66179043,0.77257216,-0.61109483,0.066229686,-0.15908803,0.8306607,0.55234474,0.06816483,0.016480949,0.9123491,0.4073871,-0.030354531,0.027082946,0.75545526,-0.6055863,-0.21762282,-0.12325956,0.8296839,0.46382314,0.3105991,-0.0045711542,0.8944281,0.44374225,0.008551555,0.05493697
