frame,timestamp_ms,vrm_bone,rot_x,rot_y,rot_z,rot_w
0,0,hips,0.10853,0.17935,0.01802,0.97761
0,0,spine,0.0,-0.02047,-0.0,0.99979
0,0,chest,0.0,-0.0,0.0,1.0
0,0,neck,0.0,-0.0,0.0,1.0
0,0,head,-0.114,-0.01262,0.07131,0.99084
0,0,leftUpperArm,0.04157,-0.25338,-0.72101,0.64359
0,0,leftLowerArm,0.31625,-0.29284,0.00642,0.90232
0,0,leftHand,-0.29075,0.26794,-0.131,-0.90913
0,0,rightUpperArm,-0.18907,-0.01382,0.67691,0.71123
0,0,rightLowerArm,0.38504,0.39504,0.20647,0.80812
0,0,rightHand,0.25114,0.17388,-0.18792,0.93348
0,0,leftUpperLeg,-0.58129,-0.14534,-0.09137,0.79538
0,0,leftLowerLeg,0.55188,0.02142,-0.05254,0.83199
0,0,leftFoot,0.35474,0.00867,0.04161,0.934
0,0,rightUpperLeg,-0.56895,-0.11186,0.20216,0.78925
0,0,rightLowerLeg,0.43924,-0.00045,-0.30572,0.84475
0,0,rightFoot,0.41886,0.01406,0.00414,0.90793
1,83,hips,0.10555,0.17668,0.01684,0.97845
1,83,spine,0.0,-0.02464,0.0,0.9997
1,83,chest,0.0,-0.0,0.0,1.0
1,83,neck,0.0,-0.0,0.0,1.0
1,83,head,-0.11007,-0.01209,0.0741,0.99108
1,83,leftUpperArm,0.03869,-0.24972,-0.72083,0.6454
1,83,leftLowerArm,0.32308,-0.2985,0.01201,0.89798
1,83,leftHand,-0.26727,0.25567,-0.13008,-0.91993
1,83,rightUpperArm,-0.18217,-0.00729,0.67868,0.71144
1,83,rightLowerArm,0.38995,0.40075,0.19884,0.80486
1,83,rightHand,0.33498,0.1827,-0.17052,0.90848
1,83,leftUpperLeg,-0.58245,-0.14356,-0.09357,0.7946
1,83,leftLowerLeg,0.55703,0.0199,-0.04512,0.82902
1,83,leftFoot,0.34671,0.00651,0.03818,0.93717
1,83,rightUpperLeg,-0.57363,-0.11005,0.20358,0.78574
1,83,rightLowerLeg,0.44884,-0.002,-0.30405,0.84029
1,83,rightFoot,0.41875,0.01291,0.00192,0.90801
2,167,hips,0.09638,0.17539,0.01452,0.97966
2,167,spine,-0.0,-0.02819,0.0,0.9996
2,167,chest,0.0,-0.0,0.0,1.0
2,167,neck,0.0,-0.0,0.0,1.0
2,167,head,-0.09885,-0.01707,0.07899,0.99182
2,167,leftUpperArm,0.04223,-0.24478,-0.7231,0.64454
2,167,leftLowerArm,0.33297,-0.30355,0.02578,0.89237
2,167,leftHand,-0.24588,0.25209,-0.12498,-0.92756
2,167,rightUpperArm,-0.17216,-0.00603,0.67967,0.713
2,167,rightLowerArm,0.38992,0.40358,0.19163,0.80521
2,167,rightHand,0.34895,0.21582,-0.16264,0.89733
2,167,leftUpperLeg,-0.57818,-0.14368,-0.09661,0.79732
2,167,leftLowerLeg,0.56058,0.01736,-0.0347,0.82719
2,167,leftFoot,0.34282,0.00437,0.03267,0.93882
2,167,rightUpperLeg,-0.57236,-0.11252,0.20182,0.78677
2,167,rightLowerLeg,0.45694,-0.00562,-0.29415,0.83944
2,167,rightFoot,0.41805,0.02311,-0.00511,0.90812
3,250,hips,0.09773,0.17481,0.01371,0.97964
3,250,spine,0.0,-0.02149,-0.0,0.99977
3,250,chest,0.0,-0.0,0.0,1.0
3,250,neck,0.0,-0.0,0.0,1.0
3,250,head,-0.08761,-0.00382,0.07256,0.9935
3,250,leftUpperArm,0.04622,-0.24897,-0.72374,0.64194
3,250,leftLowerArm,0.34017,-0.30792,0.0338,0.88788
3,250,leftHand,-0.23249,0.25309,-0.12545,-0.93067
3,250,rightUpperArm,-0.17728,-0.00653,0.67959,0.71182
3,250,rightLowerArm,0.38679,0.4006,0.20047,0.80606
3,250,rightHand,0.38619,0.23189,-0.19018,0.87231
3,250,leftUpperLeg,-0.58084,-0.1435,-0.09731,0.79533
3,250,leftLowerLeg,0.56226,0.01418,-0.02758,0.82638
3,250,leftFoot,0.34067,0.01116,0.02603,0.93976
3,250,rightUpperLeg,-0.57921,-0.11132,0.20158,0.78198
3,250,rightLowerLeg,0.46435,-0.00794,-0.29054,0.8366
3,250,rightFoot,0.41589,0.03041,-0.00902,0.90886
4,333,hips,0.09883,0.17485,0.01433,0.97952
4,333,spine,-0.0,-0.01189,-0.0,0.99993
4,333,chest,0.0,-0.0,0.0,1.0
4,333,neck,0.0,-0.0,0.0,1.0
4,333,head,-0.07768,0.01831,0.06348,0.99479
4,333,leftUpperArm,0.05272,-0.24904,-0.72523,0.63972
4,333,leftLowerArm,0.34538,-0.312,0.03773,0.88427
4,333,leftHand,-0.21613,0.26104,-0.12882,-0.93196
4,333,rightUpperArm,-0.18458,-0.01163,0.67728,0.7121
4,333,rightLowerArm,0.37893,0.39345,0.21286,0.81012
4,333,rightHand,0.39195,0.24053,-0.21101,0.86255
4,333,leftUpperLeg,-0.58271,-0.14317,-0.09909,0.79381
4,333,leftLowerLeg,0.55956,0.01273,-0.02387,0.82835
4,333,leftFoot,0.34555,0.009,0.02325,0.93807
4,333,rightUpperLeg,-0.5827,-0.11073,0.19849,0.78026
4,333,rightLowerLeg,0.46681,-0.01018,-0.28401,0.83745
4,333,rightFoot,0.41704,0.02926,-0.01387,0.90831
5,417,hips,0.1043,0.17864,0.01498,0.97826
5,417,spine,-0.0,0.00054,-0.0,1.0
5,417,chest,0.0,-0.0,0.0,1.0
5,417,neck,0.0,-0.0,0.0,1.0
5,417,head,-0.06379,0.05178,0.03913,0.99585
5,417,leftUpperArm,0.06065,-0.25859,-0.72361,0.63705
