frame,timestamp_ms,hand,gesture,score
0,0,right,None,0.748
0,0,left,None,0.749
1,83,right,None,0.779
1,83,left,None,0.732
2,167,right,None,0.856
2,167,left,None,0.721
3,250,right,None,0.91
3,250,left,None,0.73
4,333,right,None,0.872
4,333,left,None,0.74
5,417,right,None,0.877
5,417,left,None,0.752
6,500,right,None,0.886
6,500,left,None,0.773
7,583,right,None,0.74
7,583,left,None,0.744
8,667,right,None,0.744
8,667,left,None,0.73
9,750,right,None,0.707
9,750,left,None,0.718
10,833,right,None,0.655
11,917,right,None,0.828
12,1000,left,None,0.655
13,1083,left,None,0.69
14,1167,left,None,0.692
14,1167,right,None,0.848
15,1250,left,None,0.7
15,1250,right,None,0.88
16,1333,left,None,0.699
17,1417,left,None,0.702
17,1417,right,None,0.837
18,1500,left,None,0.713
18,1500,right,None,0.841
19,1583,left,None,0.727
19,1583,right,None,0.841
20,1667,left,None,0.725
20,1667,right,None,0.851
21,1750,left,None,0.726
21,1750,right,None,0.853
22,1833,left,None,0.729
22,1833,right,None,0.857
23,1917,left,None,0.734
23,1917,right,None,0.87
24,2000,left,None,0.731
24,2000,right,None,0.872
25,2083,left,None,0.734
25,2083,right,None,0.876
26,2167,left,None,0.731
26,2167,right,None,0.877
27,2250,left,None,0.728
27,2250,right,None,0.879
28,2333,left,None,0.733
28,2333,right,None,0.879
29,2417,left,None,0.739
29,2417,right,None,0.889
30,2500,left,None,0.727
30,2500,right,None,0.9
31,2583,left,None,0.732
31,2583,right,None,0.912
32,2667,left,None,0.728
32,2667,right,None,0.931
33,2750,left,None,0.729
34,2833,left,None,0.911
35,2917,left,None,0.727
36,3000,left,None,0.887
37,3083,left,None,0.723
38,3167,left,None,0.717
38,3167,right,None,0.959
39,3250,left,None,0.798
40,3333,left,None,0.709
41,3417,left,None,0.708
42,3500,left,None,0.71
42,3500,right,None,0.973
43,3583,left,None,0.711
43,3583,right,None,0.981
44,3667,left,None,0.725
44,3667,right,None,0.976
45,3750,left,None,0.71
45,3750,right,None,0.974
46,3833,left,None,0.713
46,3833,right,None,0.974
47,3917,left,None,0.712
47,3917,right,None,0.966
48,4000,left,None,0.71
48,4000,right,None,0.914
49,4083,left,None,0.711
49,4083,right,None,0.899
50,4167,left,None,0.711
50,4167,right,None,0.964
51,4250,left,None,0.712
51,4250,right,None,0.943
52,4333,left,None,0.712
52,4333,right,None,0.958
53,4417,left,None,0.712
53,4417,right,None,0.923
54,4500,left,None,0.712
54,4500,right,None,0.923
55,4583,left,None,0.711
55,4583,right,None,0.875
56,4667,left,None,0.71
56,4667,right,None,0.91
57,4750,left,None,0.714
57,4750,right,None,0.924
58,4833,left,None,0.709
58,4833,right,None,0.931
59,4917,left,None,0.715
59,4917,right,None,0.967
60,5000,left,None,0.712
60,5000,right,None,0.898
61,5083,left,None,0.71
61,5083,right,None,0.921
62,5167,left,None,0.71
62,5167,right,None,0.96
63,5250,left,None,0.71
63,5250,right,None,0.929
64,5333,left,None,0.71
64,5333,right,None,0.95
65,5417,left,None,0.72
65,5417,right,None,0.973
66,5500,left,None,0.723
67,5583,left,Thumb_Up,0.495
68,5667,left,None,0.7
69,5750,left,None,0.7
69,5750,right,None,0.698
70,5833,left,None,0.7
71,5917,left,None,0.699
71,5917,right,None,0.895
72,6000,left,None,0.701
72,6000,right,None,0.904
73,6083,left,None,0.706
73,6083,right,None,0.887
74,6167,left,None,0.709
74,6167,right,None,0.887
75,6250,left,None,0.714
75,6250,right,None,0.886
76,6333,left,None,0.713
76,6333,right,None,0.886
77,6417,left,None,0.717
77,6417,right,None,0.878
78,6500,left,None,0.715
78,6500,right,None,0.876
79,6583,left,None,0.718
79,6583,right,None,0.874
80,6667,left,None,0.721
80,6667,right,None,0.868
81,6750,left,None,0.722
81,6750,right,None,0.855
82,6833,left,None,0.722
82,6833,right,None,0.817
83,6917,left,None,0.719
83,6917,right,None,0.814
84,7000,left,None,0.712
85,7083,left,None,0.702
85,7083,right,None,0.835
86,7167,left,None,0.717
87,7250,right,None,0.81
88,7333,right,None,0.743
89,7417,right,None,0.715
90,7500,right,None,0.843
91,7583,right,None,0.917
92,7667,right,None,0.858
93,7750,right,None,0.882
94,7833,right,None,0.863
94,7833,left,None,0.709
95,7917,right,None,0.865
95,7917,left,None,0.735
