frame,timestamp_ms,left_elbow_flexion,right_elbow_flexion,left_knee_flexion,right_knee_flexion,left_shoulder_abduction,right_shoulder_abduction,left_thumb_J1_flexion_deg,left_thumb_J2_flexion_deg,left_thumb_J3_flexion_deg,left_index_J1_flexion_deg,left_index_J2_flexion_deg,left_index_J3_flexion_deg,left_middle_J1_flexion_deg,left_middle_J2_flexion_deg,left_middle_J3_flexion_deg,left_ring_J1_flexion_deg,left_ring_J2_flexion_deg,left_ring_J3_flexion_deg,left_little_J1_flexion_deg,left_little_J2_flexion_deg,left_little_J3_flexion_deg,right_thumb_J1_flexion_deg,right_thumb_J2_flexion_deg,right_thumb_J3_flexion_deg,right_index_J1_flexion_deg,right_index_J2_flexion_deg,right_index_J3_flexion_deg,right_middle_J1_flexion_deg,right_middle_J2_flexion_deg,right_middle_J3_flexion_deg,right_ring_J1_flexion_deg,right_ring_J2_flexion_deg,right_ring_J3_flexion_deg,right_little_J1_flexion_deg,right_little_J2_flexion_deg,right_little_J3_flexion_deg
0,0,145.94,127.06,112.66,115.29,17.12,16.06,12.04,27.42,9.75,56.13,37.43,26.28,59.95,47.7,10.2,63.0,46.67,15.36,57.19,34.51,21.95,36.88,8.9,4.89,54.05,43.03,0.49,44.44,45.38,27.91,50.78,37.04,29.91,55.29,26.51,36.1
1,83,145.24,126.85,112.05,114.34,17.22,15.77,12.79,27.73,8.7,55.64,40.03,22.97,59.43,46.82,10.93,63.75,43.45,15.84,57.05,34.29,23.48,32.22,13.77,8.09,54.76,38.11,5.81,47.38,39.19,24.44,53.24,34.68,24.24,57.55,23.11,31.15
2,167,144.53,126.93,111.66,114.17,16.68,15.01,15.69,27.34,8.56,54.52,43.82,19.5,59.33,46.32,11.33,65.47,39.37,16.94,57.33,33.94,24.04,26.57,17.42,11.16,57.61,30.97,8.43,50.84,33.22,20.45,55.7,28.25,22.12,59.07,18.83,20.61
3,250,143.91,126.77,111.48,113.57,16.47,15.54,18.09,27.18,9.34,53.23,46.71,18.63,59.55,44.51,13.17,66.81,36.4,17.68,57.97,32.55,23.92,22.06,19.94,13.72,61.17,25.4,10.25,53.12,29.95,17.7,57.9,23.92,21.14,61.27,15.84,15.26
4,333,143.37,126.85,111.88,113.76,15.64,16.14,19.52,27.57,10.32,52.61,49.41,20.64,60.22,43.13,16.69,68.11,35.05,18.49,58.02,33.93,21.69,19.97,22.03,15.06,63.54,21.88,13.09,54.35,28.68,17.41,60.26,20.8,19.68,63.19,13.28,13.59
5,417,142.94,126.57,111.68,112.92,15.29,17.34,20.86,29.03,11.24,53.47,52.39,22.48,61.35,43.52,18.73,70.3,34.13,19.04,57.39,36.03,19.58,18.69,24.29,14.92,65.79,21.46,14.92,55.92,27.57,18.32,62.81,19.82,19.12,65.0,13.03,14.17
6,500,142.77,126.13,112.87,112.88,15.2,18.72,20.09,32.43,12.01,54.92,55.42,23.25,63.41,44.54,20.03,72.94,32.93,20.39,59.36,35.81,18.83,18.83,26.84,14.39,68.06,22.05,16.29,56.97,27.51,19.53,64.37,20.69,18.91,66.56,13.7,16.1
7,583,141.73,125.67,113.56,113.5,13.97,18.86,20.19,34.55,10.07,56.28,56.4,23.07,64.66,44.21,19.35,74.34,31.34,21.35,62.39,34.92,19.94,20.45,28.34,13.55,70.65,22.14,19.96,59.18,29.07,22.41,66.6,23.76,20.37,70.06,14.44,19.88
8,667,141.12,124.66,113.85,113.65,13.56,19.17,19.14,35.85,7.76,57.63,53.27,26.02,65.46,42.41,19.24,74.76,31.23,20.48,65.12,32.77,19.27,21.19,30.69,10.92,73.13,21.71,22.7,61.21,31.89,23.11,68.8,26.79,21.64,73.36,15.1,22.91
9,750,141.19,123.04,112.37,112.14,13.55,19.65,20.93,33.65,7.6,57.4,50.16,28.53,65.17,40.66,20.62,74.35,31.47,19.48,66.04,34.37,19.5,19.03,32.24,9.57,74.86,22.31,24.33,63.69,32.53,24.38,69.91,29.36,24.83,74.35,17.37,22.03
