frame,timestamp_ms,label,score,bbox_x,bbox_y,bbox_width,bbox_height
0,0,person,0.88,0.2972,0.2672,0.3708,0.6844
0,0,chair,0.651,0.2097,0.5398,0.2569,0.3812
0,0,dining table,0.424,0.6764,0.5938,0.3194,0.3445
1,83,person,0.881,0.2972,0.2664,0.3708,0.6844
1,83,chair,0.65,0.2111,0.5398,0.2583,0.3812
1,83,dining table,0.419,0.6764,0.593,0.3194,0.3453
1,83,chair,0.359,0.5542,0.5727,0.2028,0.3633
2,167,person,0.882,0.2958,0.2648,0.3708,0.6859
2,167,chair,0.646,0.2097,0.5398,0.2569,0.382
2,167,dining table,0.42,0.6764,0.5945,0.3194,0.3438
2,167,chair,0.357,0.5542,0.5727,0.2028,0.3633
3,250,person,0.886,0.2944,0.2641,0.3736,0.6875
3,250,chair,0.641,0.2097,0.5398,0.2569,0.3812
3,250,dining table,0.424,0.6806,0.5969,0.3153,0.3414
3,250,chair,0.355,0.5569,0.5727,0.2,0.3625
4,333,person,0.887,0.2931,0.2617,0.3736,0.6891
4,333,chair,0.635,0.2097,0.5398,0.2569,0.382
4,333,dining table,0.431,0.6819,0.5992,0.3139,0.3398
5,417,person,0.892,0.2903,0.257,0.3736,0.6937
5,417,chair,0.635,0.2111,0.5391,0.2569,0.3828
5,417,dining table,0.425,0.6792,0.5961,0.3167,0.3422
5,417,chair,0.368,0.5542,0.5742,0.2,0.3609
6,500,person,0.901,0.2903,0.2586,0.3708,0.6922
6,500,chair,0.634,0.2111,0.5398,0.2556,0.382
6,500,dining table,0.423,0.6764,0.5992,0.3194,0.3406
6,500,chair,0.382,0.5583,0.575,0.1986,0.3602
7,583,person,0.906,0.2889,0.2625,0.3681,0.6883
7,583,chair,0.624,0.2111,0.5391,0.2542,0.3836
7,583,dining table,0.415,0.6778,0.5953,0.3181,0.3445
7,583,chair,0.368,0.5583,0.5742,0.2,0.3609
8,667,person,0.911,0.2903,0.2609,0.3667,0.6891
8,667,chair,0.639,0.2125,0.5422,0.2556,0.3805
8,667,dining table,0.423,0.6708,0.5938,0.325,0.3453
8,667,chair,0.372,0.5611,0.5758,0.2,0.3602
9,750,person,0.906,0.2917,0.2641,0.3625,0.6859
9,750,chair,0.621,0.2125,0.543,0.2542,0.3805
9,750,dining table,0.421,0.6722,0.5938,0.3236,0.3453
9,750,chair,0.36,0.5597,0.5773,0.2014,0.3586
10,833,person,0.898,0.2958,0.2656,0.3611,0.6828
10,833,chair,0.575,0.2153,0.543,0.2625,0.3797
10,833,dining table,0.415,0.6722,0.5938,0.325,0.3445
11,917,person,0.871,0.2972,0.2687,0.3653,0.6773
11,917,chair,0.572,0.2153,0.543,0.2653,0.3789
11,917,dining table,0.411,0.675,0.5953,0.3208,0.343
11,917,chair,0.355,0.5611,0.5758,0.2014,0.3625
12,1000,person,0.845,0.3236,0.2719,0.3472,0.6664
12,1000,chair,0.622,0.2153,0.5406,0.2611,0.3805
